model,model_type,label_mode,high_demand_threshold,threshold_source,threshold_rule,d,selected_threshold,threshold_selection_split,threshold_selection_fallback,threshold_candidates_evaluated,test_labels_used_for_threshold_selection,val_score_kind,val_selected_threshold,val_pr_auc,val_roc_auc,val_brier_score,val_precision,val_recall,val_f1,val_f2,val_false_alarm_rate,val_specificity,val_balanced_accuracy,val_TP,val_FP,val_TN,val_FN,val_alerts_per_month,val_missed_high_demand_days,val_label_prevalence,val_total_days,val_high_demand_days,val_alert_days,val_correctly_alerted_high_demand_days,val_metric_warnings,test_score_kind,test_selected_threshold,test_pr_auc,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,test_f2,test_false_alarm_rate,test_specificity,test_balanced_accuracy,test_TP,test_FP,test_TN,test_FN,test_alerts_per_month,test_missed_high_demand_days,test_label_prevalence,test_total_days,test_high_demand_days,test_alert_days,test_correctly_alerted_high_demand_days,test_metric_warnings,validation_predictions_path,test_predictions_path,metrics_path,test_labels_used_for_training,fixed_alert_rule,fit_source,history_update_rule
logistic_l1_classifier,ml_classifier,threshold,2.0,user,f2,1,0.09999999999999999,val,False,192,False,probability,0.09999999999999999,0.2791837133387841,0.4945454545454546,0.22152819190312487,0.2777777777777778,1.0,0.43478260869565216,0.6578947368421053,0.9848484848484849,0.015151515151515152,0.5075757575757576,25,65,1,0,30.103021978021978,0,0.27472527472527475,91,25,90,25,[],probability,0.09999999999999999,0.8017210675178753,0.7704313629101635,0.25755365049462997,0.6170212765957447,0.9854368932038835,0.7588785046728972,0.8803122289679098,0.7974683544303798,0.20253164556962025,0.5939842693867519,203,126,32,3,27.51081730769231,3,0.5659340659340659,364,206,329,203,[],results/high_demand_classification_threshold2_20260513/logistic_l1_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/logistic_l1_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/logistic_l1_classifier/metrics.json,False,,,
xgb_classifier,ml_classifier,threshold,2.0,user,f2,1,0.12892837822437286,val,False,192,False,probability,0.12892837822437286,0.3179757074141913,0.5545454545454545,0.22251779195109855,0.2840909090909091,1.0,0.4424778761061947,0.6648936170212766,0.9545454545454546,0.045454545454545456,0.5227272727272727,25,63,3,0,29.434065934065934,0,0.27472527472527475,91,25,88,25,[],probability,0.12892837822437286,0.7838143785576521,0.72625046085781,0.24528316112454313,0.6023738872403561,0.9854368932038835,0.7476979742173112,0.8742463393626184,0.8481012658227848,0.1518987341772152,0.5686678136905493,203,134,24,3,28.179773351648354,3,0.5659340659340659,364,206,337,203,[],results/high_demand_classification_threshold2_20260513/xgb_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/xgb_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/xgb_classifier/metrics.json,False,,,
extra_trees_classifier,ml_classifier,threshold,2.0,user,f2,1,0.2,val,False,192,False,probability,0.2,0.30480295184015327,0.5357575757575758,0.22317773875946717,0.2808988764044944,1.0,0.43859649122807015,0.6613756613756614,0.9696969696969697,0.030303030303030304,0.5151515151515151,25,64,2,0,29.768543956043956,0,0.27472527472527475,91,25,89,25,[],probability,0.2,0.7919024474873904,0.7429642374339437,0.22597910563978832,0.5823863636363636,0.9951456310679612,0.7347670250896058,0.8715986394557823,0.930379746835443,0.06962025316455696,0.532382942116259,205,147,11,1,29.434065934065934,1,0.5659340659340659,364,206,352,205,[],results/high_demand_classification_threshold2_20260513/extra_trees_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/extra_trees_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/extra_trees_classifier/metrics.json,False,,,
lgbm_classifier,ml_classifier,threshold,2.0,user,f2,1,0.0,val,False,192,False,probability,0.0,0.3166463796331537,0.5533333333333333,0.23030571331132016,0.27472527472527475,1.0,0.43103448275862066,0.6544502617801047,1.0,0.0,0.5,25,66,0,0,30.4375,0,0.27472527472527475,91,25,91,25,[],probability,0.0,0.7696650518602597,0.716480275285732,0.25034748684867275,0.5659340659340659,1.0,0.7228070175438597,0.867003367003367,1.0,0.0,0.5,206,158,0,0,30.4375,0,0.5659340659340659,364,206,364,206,[],results/high_demand_classification_threshold2_20260513/lgbm_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/lgbm_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/lgbm_classifier/metrics.json,False,,,
random_forest_classifier,ml_classifier,threshold,2.0,user,f2,1,0.18000000000000002,val,False,192,False,probability,0.18000000000000002,0.29283867773361694,0.5424242424242425,0.21719323076049096,0.2808988764044944,1.0,0.43859649122807015,0.6613756613756614,0.9696969696969697,0.030303030303030304,0.5151515151515151,25,64,2,0,29.768543956043956,0,0.27472527472527475,91,25,89,25,[],probability,0.18000000000000002,0.8131534656779751,0.7555917414280446,0.22283902176518766,0.5746478873239437,0.9902912621359223,0.7272727272727273,0.8651399491094147,0.9556962025316456,0.04430379746835443,0.5172975298021384,204,151,7,2,29.684924450549453,2,0.5659340659340659,364,206,355,204,[],results/high_demand_classification_threshold2_20260513/random_forest_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/random_forest_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/random_forest_classifier/metrics.json,False,,,
catboost_classifier,ml_classifier,threshold,2.0,user,f2,1,0.09719114935172334,val,False,192,False,probability,0.09719114935172334,0.31384580536220563,0.5236363636363637,0.230112987358894,0.2777777777777778,1.0,0.43478260869565216,0.6578947368421053,0.9848484848484849,0.015151515151515152,0.5075757575757576,25,65,1,0,30.103021978021978,0,0.27472527472527475,91,25,90,25,[],probability,0.09719114935172334,0.7736809305535652,0.6999508418335996,0.24801663632776663,0.5767045454545454,0.9854368932038835,0.7275985663082437,0.8630952380952381,0.9430379746835443,0.056962025316455694,0.5211994592601696,203,149,9,3,29.434065934065934,3,0.5659340659340659,364,206,352,203,[],results/high_demand_classification_threshold2_20260513/catboost_classifier/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/catboost_classifier/test_predictions.csv,results/high_demand_classification_threshold2_20260513/catboost_classifier/metrics.json,False,,,
naive_rolling_mean_alert,naive_alert_baseline,threshold,2.0,user,f2,1,2.0,,False,,False,count_score,2.0,0.2890988239727,0.5215151515151515,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,66,25,0.0,25,0.27472527472527475,91,25,0,0,[],count_score,2.0,0.7800117293305255,0.7320726311908565,,0.745,0.7233009708737864,0.7339901477832512,0.7275390625,0.3227848101265823,0.6772151898734177,0.700258080373602,149,51,107,57,16.7239010989011,57,0.5659340659340659,364,206,200,149,[],results/high_demand_classification_threshold2_20260513/naive_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_rolling_mean_alert/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
naive_previous_high_demand,naive_alert_baseline,threshold,2.0,user,f2,1,0.5,,False,,False,binary,0.5,,,,0.16,0.16,0.16,0.16,0.3181818181818182,0.6818181818181818,0.4209090909090909,4,21,45,21,8.36195054945055,21,0.27472527472527475,91,25,25,4,[],binary,0.5,,,,0.6763285024154589,0.6796116504854369,0.6779661016949152,0.6789524733268671,0.4240506329113924,0.5759493670886076,0.6277805087870223,140,67,91,66,17.30923763736264,66,0.5659340659340659,364,206,207,140,[],results/high_demand_classification_threshold2_20260513/naive_previous_high_demand/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_previous_high_demand/test_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_previous_high_demand/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
naive_same_dow_rolling_mean_alert,naive_alert_baseline,threshold,2.0,user,f2,1,2.0,,False,,False,count_score,2.0,0.2564265352413509,0.44606060606060605,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,66,25,0.0,25,0.27472527472527475,91,25,0,0,[],count_score,2.0,0.7174996029847137,0.6857256974314858,,0.6868686868686869,0.6601941747572816,0.6732673267326733,0.6653620352250489,0.3924050632911392,0.6075949367088608,0.6338945557330712,136,62,96,70,16.556662087912088,70,0.5659340659340659,364,206,198,136,[],results/high_demand_classification_threshold2_20260513/naive_same_dow_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_same_dow_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_threshold2_20260513/naive_same_dow_rolling_mean_alert/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
count_extra_trees_threshold_alert,naive_alert_baseline,threshold,2.0,user,f2,1,2.0,,False,,False,count_prediction,2.0,0.2934667269925394,0.4818181818181818,,0.3333333333333333,0.16,0.21621621621621623,0.17857142857142858,0.12121212121212122,0.8787878787878788,0.5193939393939394,4,8,58,21,4.013736263736264,21,0.27472527472527475,91,25,12,4,[],count_prediction,2.0,0.8037676859987932,0.7475420916799803,,0.7785714285714286,0.529126213592233,0.630057803468208,0.5653526970954357,0.1962025316455696,0.8037974683544303,0.6664618409733316,109,31,127,97,11.70673076923077,97,0.5659340659340659,364,206,140,109,[],results/high_demand_classification_threshold2_20260513/count_extra_trees_threshold_alert/validation_predictions.csv,results/high_demand_classification_threshold2_20260513/count_extra_trees_threshold_alert/test_predictions.csv,results/high_demand_classification_threshold2_20260513/count_extra_trees_threshold_alert/metrics.json,False,True,part_a_count_predictions,
