model,model_type,label_mode,high_demand_threshold,threshold_source,threshold_rule,d,selected_threshold,threshold_selection_split,threshold_selection_fallback,fixed_alert_rule,fit_source,history_update_rule,test_labels_used_for_training,test_labels_used_for_threshold_selection,val_score_kind,val_selected_threshold,val_pr_auc,val_roc_auc,val_brier_score,val_precision,val_recall,val_f1,val_f2,val_false_alarm_rate,val_specificity,val_balanced_accuracy,val_TP,val_FP,val_TN,val_FN,val_alerts_per_month,val_missed_high_demand_days,val_label_prevalence,val_total_days,val_high_demand_days,val_alert_days,val_correctly_alerted_high_demand_days,val_metric_warnings,test_score_kind,test_selected_threshold,test_pr_auc,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,test_f2,test_false_alarm_rate,test_specificity,test_balanced_accuracy,test_TP,test_FP,test_TN,test_FN,test_alerts_per_month,test_missed_high_demand_days,test_label_prevalence,test_total_days,test_high_demand_days,test_alert_days,test_correctly_alerted_high_demand_days,test_metric_warnings,validation_predictions_path,test_predictions_path,metrics_path,threshold_candidates_evaluated
naive_same_dow_rolling_mean_alert,naive_alert_baseline,q75,3.0,train,far30,1,3.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,3.0,0.09995136641746039,0.3892045454545454,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,80,11,0.0,11,0.12087912087912088,91,11,0,0,[],count_score,3.0,0.6308231197502753,0.7350155763239874,,0.6875,0.66,0.673469387755102,0.6653225806451613,0.2102803738317757,0.7897196261682243,0.7248598130841122,99,45,169,51,12.041208791208792,51,0.41208791208791207,364,150,144,99,[],results/high_demand_classification_far30_20260513/naive_same_dow_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_far30_20260513/naive_same_dow_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_far30_20260513/naive_same_dow_rolling_mean_alert/metrics.json,
naive_rolling_mean_alert,naive_alert_baseline,q75,3.0,train,far30,1,3.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,3.0,0.13880266773085237,0.5039772727272727,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,80,11,0.0,11,0.12087912087912088,91,11,0,0,[],count_score,3.0,0.6969640705131066,0.7720404984423677,,0.6870229007633588,0.6,0.6405693950177936,0.615595075239398,0.19158878504672897,0.8084112149532711,0.7042056074766355,90,41,173,60,10.95415521978022,60,0.41208791208791207,364,150,131,90,[],results/high_demand_classification_far30_20260513/naive_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_far30_20260513/naive_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_far30_20260513/naive_rolling_mean_alert/metrics.json,
naive_previous_high_demand,naive_alert_baseline,q75,3.0,train,far30,1,0.5,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,binary,0.5,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.125,0.875,0.48295454545454547,1,10,70,10,3.679258241758242,10,0.12087912087912088,91,11,11,1,[],binary,0.5,,,,0.6,0.6,0.6,0.6,0.2803738317757009,0.719626168224299,0.6598130841121495,90,60,154,60,12.542925824175825,60,0.41208791208791207,364,150,150,90,[],results/high_demand_classification_far30_20260513/naive_previous_high_demand/validation_predictions.csv,results/high_demand_classification_far30_20260513/naive_previous_high_demand/test_predictions.csv,results/high_demand_classification_far30_20260513/naive_previous_high_demand/metrics.json,
extra_trees_classifier,ml_classifier,q75,3.0,train,far30,1,0.43957138865293677,val,False,,,,False,False,probability,0.43957138865293677,0.10257958477235765,0.3875,0.18235421894968745,0.09523809523809523,0.18181818181818182,0.125,0.15384615384615385,0.2375,0.7625,0.4721590909090909,2,19,61,9,7.024038461538462,9,0.12087912087912088,91,11,21,2,[],probability,0.43957138865293677,0.7208029044323498,0.7678816199376948,0.19790609577362173,0.6752136752136753,0.5266666666666666,0.5917602996254682,0.5509065550906556,0.17757009345794392,0.822429906542056,0.6745482866043613,79,38,176,71,9.783482142857142,71,0.41208791208791207,364,150,117,79,[],results/high_demand_classification_far30_20260513/extra_trees_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/extra_trees_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/extra_trees_classifier/metrics.json,192
count_extra_trees_threshold_alert,naive_alert_baseline,q75,3.0,train,far30,1,3.0,,False,True,part_a_count_predictions,,False,False,count_prediction,3.0,0.11996193153335867,0.4147727272727273,,0.0,0.0,0.0,0.0,0.0125,0.9875,0.49375,0,1,79,11,0.334478021978022,11,0.12087912087912088,91,11,1,0,[],count_prediction,3.0,0.7152074351818145,0.7724922118380063,,0.7422680412371134,0.48,0.582995951417004,0.5164992826398852,0.11682242990654206,0.883177570093458,0.681588785046729,72,25,189,78,8.111092032967033,78,0.41208791208791207,364,150,97,72,[],results/high_demand_classification_far30_20260513/count_extra_trees_threshold_alert/validation_predictions.csv,results/high_demand_classification_far30_20260513/count_extra_trees_threshold_alert/test_predictions.csv,results/high_demand_classification_far30_20260513/count_extra_trees_threshold_alert/metrics.json,
random_forest_classifier,ml_classifier,q75,3.0,train,far30,1,0.38951248738539096,val,False,,,,False,False,probability,0.38951248738539096,0.10540276687802667,0.39772727272727276,0.16266515900604026,0.10526315789473684,0.18181818181818182,0.13333333333333333,0.15873015873015872,0.2125,0.7875,0.4846590909090909,2,17,63,9,6.355082417582418,9,0.12087912087912088,91,11,19,2,[],probability,0.38951248738539096,0.6981650641906624,0.7510903426791277,0.20206668402532857,0.6283185840707964,0.47333333333333333,0.5399239543726235,0.49789621318373073,0.19626168224299065,0.8037383177570093,0.6385358255451713,71,42,172,79,9.44900412087912,79,0.41208791208791207,364,150,113,71,[],results/high_demand_classification_far30_20260513/random_forest_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/random_forest_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/random_forest_classifier/metrics.json,192
logistic_l1_classifier,ml_classifier,q75,3.0,train,far30,1,0.37310289375293076,val,False,,,,False,False,probability,0.37310289375293076,0.10963029529747921,0.4375,0.16230390746380224,0.08333333333333333,0.18181818181818182,0.11428571428571428,0.14705882352941177,0.275,0.725,0.4534090909090909,2,22,58,9,8.027472527472527,9,0.12087912087912088,91,11,24,2,[],probability,0.37310289375293076,0.6898126067397421,0.7558878504672897,0.23294024866236335,0.7126436781609196,0.41333333333333333,0.5232067510548524,0.4512372634643377,0.11682242990654206,0.883177570093458,0.6482554517133956,62,25,189,88,7.274896978021978,88,0.41208791208791207,364,150,87,62,[],results/high_demand_classification_far30_20260513/logistic_l1_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/logistic_l1_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/logistic_l1_classifier/metrics.json,192
xgb_classifier,ml_classifier,q75,3.0,train,far30,1,0.38,val,False,,,,False,False,probability,0.38,0.11490305353095748,0.4068181818181818,0.17323082584218777,0.12,0.2727272727272727,0.16666666666666666,0.21739130434782608,0.275,0.725,0.49886363636363634,3,22,58,8,8.36195054945055,8,0.12087912087912088,91,11,25,3,[],probability,0.38,0.6683430477301018,0.7114953271028037,0.23336726727946072,0.7142857142857143,0.36666666666666664,0.4845814977973568,0.40620384047267355,0.102803738317757,0.897196261682243,0.6319314641744548,55,22,192,95,6.438701923076923,95,0.41208791208791207,364,150,77,55,[],results/high_demand_classification_far30_20260513/xgb_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/xgb_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/xgb_classifier/metrics.json,192
lgbm_classifier,ml_classifier,q75,3.0,train,far30,1,0.36000000000000004,val,False,,,,False,False,probability,0.36000000000000004,0.12583522455908336,0.46818181818181814,0.177748536414242,0.14814814814814814,0.36363636363636365,0.21052631578947367,0.28169014084507044,0.2875,0.7125,0.5380681818181818,4,23,57,7,9.030906593406593,7,0.12087912087912088,91,11,27,4,[],probability,0.36000000000000004,0.6557401534062429,0.7157009345794391,0.24789777143818248,0.6712328767123288,0.32666666666666666,0.43946188340807174,0.3640416047548291,0.11214953271028037,0.8878504672897196,0.6072585669781931,49,24,190,101,6.1042239010989015,101,0.41208791208791207,364,150,73,49,[],results/high_demand_classification_far30_20260513/lgbm_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/lgbm_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/lgbm_classifier/metrics.json,192
catboost_classifier,ml_classifier,q75,3.0,train,far30,1,0.46,val,False,,,,False,False,probability,0.46,0.12645175632661748,0.4215909090909091,0.17480556501667296,0.1875,0.2727272727272727,0.2222222222222222,0.25,0.1625,0.8375,0.5551136363636364,3,13,67,8,5.351648351648352,8,0.12087912087912088,91,11,16,3,[],probability,0.46,0.6507243398236016,0.6770404984423677,0.247088038177077,0.7592592592592593,0.2733333333333333,0.4019607843137255,0.31345565749235477,0.06074766355140187,0.9392523364485982,0.6062928348909657,41,13,201,109,4.5154532967032965,109,0.41208791208791207,364,150,54,41,[],results/high_demand_classification_far30_20260513/catboost_classifier/validation_predictions.csv,results/high_demand_classification_far30_20260513/catboost_classifier/test_predictions.csv,results/high_demand_classification_far30_20260513/catboost_classifier/metrics.json,192
