latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.878613,-76.95956,37.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,9.00,6.0,9.00,0.00,0.00,18.4,11.7,98,92,94
2022-01-02,0.80,2.0,0.80,0.00,0.00,16.7,8.0,97,62,85
2022-01-03,21.60,11.0,7.10,0.00,10.15,6.8,-6.1,100,50,81
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.9,-8.9,85,52,67
2022-01-05,0.00,0.0,0.00,0.00,0.00,4.2,-4.3,93,74,81
2022-01-06,0.00,0.0,0.00,0.00,0.00,6.0,1.3,82,39,55
2022-01-07,5.90,5.0,1.80,0.00,2.87,1.3,-4.6,98,45,64
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.7,-6.8,69,41,55
2022-01-09,7.60,8.0,7.60,0.00,0.00,6.4,-0.5,96,57,76
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.5,-2.0,72,38,48
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.1,-6.4,60,37,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,8.0,-6.4,61,30,48
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.7,-1.6,81,41,59
2022-01-14,0.00,0.0,0.00,0.00,0.00,7.9,0.8,79,54,63
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.1,-7.8,56,37,45
2022-01-16,16.50,9.0,13.40,0.00,2.17,3.1,-9.5,94,52,73
2022-01-17,0.00,0.0,0.00,0.00,0.00,5.3,0.4,92,46,67
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.8,-2.6,71,45,57
2022-01-19,0.00,0.0,0.00,0.00,0.00,11.9,-3.0,72,35,52
