latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.858257,-77.00101,54.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,12.20,6.0,12.20,0.00,0.00,17.8,12.1,98,92,95
2022-01-02,0.80,2.0,0.80,0.00,0.00,16.7,7.8,98,63,86
2022-01-03,22.00,11.0,7.40,0.00,10.22,6.7,-6.4,100,49,81
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.7,-8.7,88,50,67
2022-01-05,0.00,0.0,0.00,0.00,0.00,4.0,-4.6,93,75,83
2022-01-06,0.00,0.0,0.00,0.00,0.00,6.0,1.2,86,38,56
2022-01-07,5.50,5.0,1.60,0.00,2.73,1.2,-4.6,98,45,64
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.6,-6.4,70,40,55
2022-01-09,6.80,7.0,6.80,0.00,0.00,5.7,-2.7,95,62,77
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.2,-2.1,73,37,48
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.3,-6.1,59,37,46
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.8,-6.4,63,33,49
2022-01-13,0.00,0.0,0.00,0.00,0.00,10.0,-1.4,80,38,58
2022-01-14,0.00,0.0,0.00,0.00,0.00,8.0,1.1,78,52,62
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.0,-7.7,56,37,45
2022-01-16,21.90,9.0,18.70,0.00,2.24,2.5,-9.5,94,54,72
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.4,0.2,91,46,67
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.9,-2.7,74,46,58
2022-01-19,0.00,0.0,0.00,0.00,0.00,11.8,-2.9,73,36,53
2022-01-20,8.00,6.0,7.90,0.00,0.07,6.7,-1.8,95,49,75
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.2,-8.5,60,49,54
2022-01-22,0.00,0.0,0.00,0.00,0.00,0.1,-9.3,66,24,48
2022-01-23,0.00,0.0,0.00,0.00,0.00,4.0,-6.4,66,32,51
2022-01-24,0.00,0.0,0.00,0.00,0.00,4.6,-1.2,73,46,62
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.6,-1.0,75,46,60
2022-01-26,0.00,0.0,0.00,0.00,0.00,0.4,-5.6,59,35,47
2022-01-27,0.00,0.0,0.00,0.00,0.00,1.7,-9.3,81,43,59
2022-01-28,2.80,7.0,1.40,0.00,0.98,4.0,-0.6,97,51,72
2022-01-29,0.40,1.0,0.10,0.00,0.21,-0.5,-6.8,95,33,60
2022-01-30,0.00,0.0,0.00,0.00,0.00,-0.8,-9.5,63,40,49
2022-01-31,0.00,0.0,0.00,0.00,0.00,2.2,-6.5,78,50,63
2022-02-01,0.00,0.0,0.00,0.00,0.00,5.4,-6.0,85,57,70
2022-02-02,0.00,0.0,0.00,0.00,0.00,9.3,-3.2,98,58,83
2022-02-03,5.70,11.0,5.70,0.00,0.00,14.7,4.6,98,82,93
2022-02-04,12.70,12.0,12.70,0.00,0.00,15.6,1.0,98,77,89
2022-02-05,0.00,0.0,0.00,0.00,0.00,0.5,-4.1,78,41,57
2022-02-06,0.00,0.0,0.00,0.00,0.00,2.2,-6.6,82,40,57
2022-02-07,4.90,6.0,4.90,0.00,0.00,5.9,-1.0,96,60,79
2022-02-08,0.00,0.0,0.00,0.00,0.00,8.9,-0.6,89,28,58
2022-02-09,0.00,0.0,0.00,0.00,0.00,13.3,-3.4,89,32,58
2022-02-10,0.00,0.0,0.00,0.00,0.00,15.3,2.5,69,29,48
2022-02-11,0.00,0.0,0.00,0.00,0.00,19.5,0.2,75,21,46
2022-02-12,0.00,0.0,0.00,0.00,0.00,14.9,8.1,55,36,44
2022-02-13,3.90,9.0,2.00,0.00,1.33,6.4,-2.2,96,62,81
2022-02-14,0.00,0.0,0.00,0.00,0.00,-1.2,-4.2,77,37,54
2022-02-15,0.00,0.0,0.00,0.00,0.00,3.5,-6.9,74,38,53
2022-02-16,0.00,0.0,0.00,0.00,0.00,11.9,-2.7,90,39,63
2022-02-17,0.00,0.0,0.00,0.00,0.00,20.3,8.6,71,48,61
2022-02-18,1.80,1.0,1.80,0.00,0.00,18.1,-0.8,85,42,59
2022-02-19,0.00,0.0,0.00,0.00,0.00,8.4,-3.1,77,27,49
2022-02-20,0.00,0.0,0.00,0.00,0.00,5.9,-7.3,62,26,42
2022-02-21,0.00,0.0,0.00,0.00,0.00,18.8,-0.7,60,15,39
2022-02-22,0.40,1.0,0.40,0.00,0.00,18.8,6.0,93,67,80
2022-02-23,0.70,1.0,0.70,0.00,0.00,23.3,5.9,88,38,65
2022-02-24,4.10,5.0,3.20,0.00,0.63,5.1,-0.4,98,58,79
2022-02-25,3.60,2.0,3.40,0.00,0.14,13.0,-0.0,99,43,80
2022-02-26,0.00,0.0,0.00,0.00,0.00,5.3,-0.3,67,47,57
2022-02-27,0.00,0.0,0.00,0.00,0.00,12.2,0.6,69,22,43
2022-02-28,0.00,0.0,0.00,0.00,0.00,9.7,1.5,75,29,47
2022-03-01,0.00,0.0,0.00,0.00,0.00,12.1,-1.0,86,41,65
2022-03-02,0.00,0.0,0.00,0.00,0.00,16.7,3.3,81,39,57
2022-03-03,0.10,1.0,0.10,0.00,0.00,12.5,1.1,79,25,50
2022-03-04,0.00,0.0,0.00,0.00,0.00,7.4,-2.5,57,33,44
2022-03-05,0.00,0.0,0.00,0.00,0.00,15.8,0.1,85,46,64
2022-03-06,0.00,0.0,0.00,0.00,0.00,25.0,8.5,85,49,67
2022-03-07,1.10,2.0,1.10,0.00,0.00,25.5,13.1,78,45,61
2022-03-08,0.00,0.0,0.00,0.00,0.00,11.2,5.2,63,38,51
