latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.949112,-77.045685,87.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,2.30,5.0,2.30,0.00,0.00,16.1,11.6,100,93,96
2022-01-02,2.70,5.0,2.70,0.00,0.00,16.8,7.1,99,62,85
2022-01-03,21.50,11.0,7.10,0.00,10.08,5.8,-5.4,97,68,84
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.5,-7.7,93,68,76
2022-01-05,0.00,0.0,0.00,0.00,0.00,3.4,-3.4,94,76,85
2022-01-06,0.00,0.0,0.00,0.00,0.00,5.2,0.9,80,42,55
2022-01-07,4.70,4.0,1.40,0.00,2.31,0.6,-5.1,95,45,64
2022-01-08,0.00,0.0,0.00,0.00,0.00,-0.1,-7.2,69,38,56
2022-01-09,3.40,6.0,3.40,0.00,0.00,6.3,-1.0,95,61,77
2022-01-10,0.00,0.0,0.00,0.00,0.00,4.6,-2.4,70,38,47
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.5,-6.7,63,36,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.1,-6.3,67,39,52
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.3,-1.9,84,45,60
2022-01-14,0.00,0.0,0.00,0.00,0.00,7.6,0.3,79,53,63
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.8,-8.2,62,37,45
2022-01-16,20.90,9.0,16.90,0.00,2.80,2.2,-10.0,95,53,71
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.2,0.0,91,47,69
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.4,-3.8,82,47,58
2022-01-19,0.00,0.0,0.00,0.00,0.00,12.5,-4.1,75,32,54
2022-01-20,8.00,6.0,7.60,0.00,0.28,6.5,-2.3,96,48,77
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.9,-8.9,62,50,55
2022-01-22,0.00,0.0,0.00,0.00,0.00,-0.5,-9.8,66,26,46
2022-01-23,0.00,0.0,0.00,0.00,0.00,3.6,-6.5,67,33,52
2022-01-24,0.00,0.0,0.00,0.00,0.00,4.0,-1.4,75,51,65
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.0,-1.8,75,48,60
2022-01-26,0.00,0.0,0.00,0.00,0.00,-0.2,-6.1,59,37,47
2022-01-27,0.00,0.0,0.00,0.00,0.00,1.4,-9.4,76,43,56
2022-01-28,2.00,5.0,0.80,0.00,0.84,3.3,-1.1,98,51,73
2022-01-29,0.80,2.0,0.20,0.00,0.42,-1.0,-6.9,91,34,59
2022-01-30,0.00,0.0,0.00,0.00,0.00,-1.0,-9.8,63,41,50
2022-01-31,0.00,0.0,0.00,0.00,0.00,1.9,-6.5,76,49,62
2022-02-01,0.00,0.0,0.00,0.00,0.00,4.7,-6.6,82,55,71
2022-02-02,0.00,0.0,0.00,0.00,0.00,8.5,-3.0,97,59,83
2022-02-03,9.10,10.0,9.10,0.00,0.00,13.9,4.6,99,86,95
2022-02-04,9.40,7.0,9.40,0.00,0.00,15.2,0.2,97,77,90
2022-02-05,0.00,0.0,0.00,0.00,0.00,-0.1,-3.9,79,45,57
2022-02-06,0.00,0.0,0.00,0.00,0.00,1.7,-7.3,79,40,59
2022-02-07,4.00,6.0,4.00,0.00,0.00,5.7,-2.0,94,53,76
2022-02-08,0.00,0.0,0.00,0.00,0.00,7.3,-0.8,88,31,60
2022-02-09,0.00,0.0,0.00,0.00,0.00,12.8,-3.6,91,36,60
2022-02-10,0.00,0.0,0.00,0.00,0.00,14.7,2.4,77,27,48
2022-02-11,0.00,0.0,0.00,0.00,0.00,19.0,0.0,74,22,45
