latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.91088,-76.98569,39.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,3.60,4.0,3.60,0.00,0.00,16.2,11.7,99,92,95
2022-01-02,0.80,2.0,0.80,0.00,0.00,16.6,7.9,98,61,85
2022-01-03,20.40,11.0,6.90,0.00,9.45,6.7,-4.4,100,69,84
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.7,-7.8,90,67,77
2022-01-05,0.00,0.0,0.00,0.00,0.00,3.9,-4.3,93,75,83
2022-01-06,0.00,0.0,0.00,0.00,0.00,5.9,1.2,87,39,58
2022-01-07,5.50,5.0,1.60,0.00,2.73,1.1,-4.6,97,42,64
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.5,-7.0,69,41,57
2022-01-09,5.50,8.0,5.50,0.00,0.00,6.1,-2.5,95,62,79
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.2,-2.0,71,38,48
2022-01-11,0.00,0.0,0.00,0.00,0.00,-1.9,-6.2,61,37,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,8.0,-6.6,68,31,53
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.6,-2.5,86,41,63
2022-01-14,0.00,0.0,0.00,0.00,0.00,8.0,0.7,76,54,64
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.2,-7.9,58,37,45
2022-01-16,13.60,9.0,10.40,0.00,2.24,2.7,-9.6,94,55,73
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.7,0.3,92,48,68
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.8,-3.5,74,47,59
2022-01-19,0.00,0.0,0.00,0.00,0.00,12.3,-3.9,77,36,55
2022-01-20,7.60,5.0,7.50,0.00,0.07,6.6,-1.7,95,49,76
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.2,-8.5,60,49,55
2022-01-22,0.00,0.0,0.00,0.00,0.00,0.0,-9.3,66,26,48
2022-01-23,0.00,0.0,0.00,0.00,0.00,3.9,-6.7,73,35,55
2022-01-24,0.00,0.0,0.00,0.00,0.00,4.3,-1.1,75,51,65
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.3,-1.2,80,50,63
2022-01-26,0.00,0.0,0.00,0.00,0.00,0.2,-5.5,63,37,48
2022-01-27,0.00,0.0,0.00,0.00,0.00,1.7,-9.1,79,43,60
2022-01-28,3.20,8.0,1.50,0.00,1.19,3.8,-0.7,96,53,75
2022-01-29,0.40,1.0,0.10,0.00,0.21,-0.5,-6.8,95,33,59
2022-01-30,0.00,0.0,0.00,0.00,0.00,-0.9,-9.5,65,41,51
2022-01-31,0.00,0.0,0.00,0.00,0.00,2.0,-7.0,83,50,65
2022-02-01,0.00,0.0,0.00,0.00,0.00,5.2,-6.0,85,57,73
2022-02-02,0.00,0.0,0.00,0.00,0.00,9.1,-3.2,98,61,82
2022-02-03,6.40,9.0,6.40,0.00,0.00,14.2,4.1,99,85,94
2022-02-04,14.00,13.0,14.00,0.00,0.00,15.5,0.9,97,76,90
