latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.884567,-76.993355,30.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,5.00,6.0,5.00,0.00,0.00,17.3,12.0,98,92,94
2022-01-02,0.80,2.0,0.80,0.00,0.00,16.8,8.0,97,62,85
2022-01-03,20.50,11.0,7.00,0.00,9.45,6.8,-4.2,97,69,84
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.8,-7.2,86,65,75
2022-01-05,0.00,0.0,0.00,0.00,0.00,4.0,-4.5,92,74,82
2022-01-06,0.00,0.0,0.00,0.00,0.00,6.1,1.3,86,39,58
2022-01-07,5.50,5.0,1.60,0.00,2.73,1.2,-4.5,96,44,63
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.6,-6.8,70,41,57
2022-01-09,5.40,8.0,5.40,0.00,0.00,5.6,-2.3,95,62,78
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.2,-1.9,71,39,49
2022-01-11,0.00,0.0,0.00,0.00,0.00,-1.9,-6.1,62,39,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.9,-6.3,66,32,51
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.9,-2.1,81,38,60
2022-01-14,0.00,0.0,0.00,0.00,0.00,8.2,1.1,78,51,62
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.0,-7.8,56,36,44
2022-01-16,18.00,9.0,14.80,0.00,2.24,2.8,-9.4,94,53,71
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.4,0.4,91,47,67
2022-01-18,0.00,0.0,0.00,0.00,0.00,4.0,-3.3,72,48,59
2022-01-19,0.00,0.0,0.00,0.00,0.00,12.0,-3.6,74,36,55
2022-01-20,7.60,5.0,7.60,0.00,0.00,6.6,-1.6,93,50,75
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.1,-8.3,58,48,53
2022-01-22,0.00,0.0,0.00,0.00,0.00,0.1,-9.3,65,26,47
