latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.89648,-77.06097,26.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,5.40,6.0,5.40,0.00,0.00,16.4,11.9,98,92,95
2022-01-02,1.20,3.0,1.20,0.00,0.00,17.1,8.0,96,63,85
2022-01-03,22.20,11.0,7.60,0.00,10.22,6.7,-4.9,97,67,84
2022-01-04,0.00,0.0,0.00,0.00,0.00,1.1,-7.0,91,67,77
2022-01-05,0.00,0.0,0.00,0.00,0.00,4.1,-3.7,94,74,84
2022-01-06,0.00,0.0,0.00,0.00,0.00,6.0,1.2,76,39,56
2022-01-07,5.10,5.0,1.50,0.00,2.52,1.2,-4.6,95,43,63
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.6,-6.9,69,36,56
2022-01-09,3.60,5.0,3.60,0.00,0.00,6.4,-2.7,93,60,78
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.2,-2.0,70,35,46
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.0,-6.1,60,35,45
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.7,-6.4,69,36,52
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.8,-2.1,87,41,61
2022-01-14,0.00,0.0,0.00,0.00,0.00,8.1,1.1,77,52,62
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.0,-7.6,61,35,45
2022-01-16,23.70,9.0,19.70,0.00,2.80,2.2,-9.5,94,53,71
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.1,0.5,89,45,67
2022-01-18,0.00,0.0,0.00,0.00,0.00,4.2,-3.6,78,44,57
2022-01-19,0.00,0.0,0.00,0.00,0.00,13.3,-4.0,77,30,52
2022-01-20,6.50,6.0,6.50,0.00,0.00,7.6,-1.9,94,49,75
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.2,-8.3,60,48,54
2022-01-22,0.00,0.0,0.00,0.00,0.00,0.0,-9.3,65,23,45
2022-01-23,0.00,0.0,0.00,0.00,0.00,4.4,-6.7,69,26,50
2022-01-24,0.00,0.0,0.00,0.00,0.00,4.8,-1.6,75,45,62
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.7,-1.1,79,44,60
2022-01-26,0.00,0.0,0.00,0.00,0.00,0.6,-5.8,60,34,46
2022-01-27,0.00,0.0,0.00,0.00,0.00,2.0,-9.0,75,39,56
2022-01-28,2.40,6.0,1.30,0.00,0.77,3.9,-0.9,97,54,74
