latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.916836,-77.0195,60.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,2.90,4.0,2.90,0.00,0.00,16.2,11.6,99,92,96
2022-01-02,1.50,3.0,1.50,0.00,0.00,16.6,7.6,98,62,85
2022-01-03,21.20,11.0,7.20,0.00,9.80,6.3,-5.2,99,68,84
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.6,-7.9,90,68,75
2022-01-05,0.00,0.0,0.00,0.00,0.00,3.7,-4.1,93,75,84
2022-01-06,0.00,0.0,0.00,0.00,0.00,5.6,1.0,84,41,56
2022-01-07,5.10,5.0,1.50,0.00,2.52,0.9,-4.7,96,43,64
2022-01-08,0.00,0.0,0.00,0.00,0.00,0.2,-7.2,69,38,57
2022-01-09,4.80,8.0,4.80,0.00,0.00,6.4,-2.5,94,63,79
2022-01-10,0.00,0.0,0.00,0.00,0.00,5.1,-2.1,70,38,48
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.1,-6.3,63,37,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.0,-6.5,68,40,53
2022-01-13,0.00,0.0,0.00,0.00,0.00,9.4,-2.4,87,44,61
2022-01-14,0.00,0.0,0.00,0.00,0.00,7.8,0.3,77,52,63
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.5,-8.0,62,38,46
2022-01-16,19.00,9.0,15.50,0.00,2.45,2.2,-9.6,94,54,71
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.6,0.2,91,48,68
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.7,-3.6,78,46,58
2022-01-19,0.00,0.0,0.00,0.00,0.00,12.7,-3.8,75,33,54
2022-01-20,7.20,7.0,7.20,0.00,0.00,6.8,-2.0,96,48,75
2022-01-21,0.00,0.0,0.00,0.00,0.00,-2.5,-8.6,61,49,54
2022-01-22,0.00,0.0,0.00,0.00,0.00,-0.2,-9.4,65,26,46
2022-01-23,0.00,0.0,0.00,0.00,0.00,3.8,-6.8,74,33,53
2022-01-24,0.00,0.0,0.00,0.00,0.00,4.1,-1.2,77,51,65
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.1,-1.3,79,48,61
2022-01-26,0.00,0.0,0.00,0.00,0.00,0.1,-5.7,62,37,48
2022-01-27,0.00,0.0,0.00,0.00,0.00,1.5,-9.1,77,44,59
2022-01-28,2.40,6.0,1.10,0.00,0.91,3.6,-1.0,97,53,74
2022-01-29,0.40,1.0,0.10,0.00,0.21,-0.8,-6.7,92,33,58
2022-01-30,0.00,0.0,0.00,0.00,0.00,-0.9,-9.7,64,40,50
2022-01-31,0.00,0.0,0.00,0.00,0.00,2.0,-6.8,80,51,63
2022-02-01,0.00,0.0,0.00,0.00,0.00,5.2,-6.0,83,55,71
2022-02-02,0.00,0.0,0.00,0.00,0.00,8.9,-3.1,98,59,82
2022-02-03,7.50,10.0,7.50,0.00,0.00,13.9,4.3,99,87,95
