model,stem,device,target_scale,horizon_h,cv_mae,cv_rmse,cv_poisson_deviance,val_mae,val_rmse,val_poisson_deviance,test_mae,test_rmse,test_poisson_deviance,bias_mean,bias_median,underprediction_rate,overprediction_rate,top25_actual_threshold,top25_mae,top25_rmse,top25_sum_actual,top25_sum_predicted,top25_total_count_ratio,peak_capture_ratio,top25_bias_mean,top25_underprediction_rate,high_demand_recall,false_alarm_rate,underpredicting,sum_actual,sum_predicted,total_count_ratio,base_model,base_stem,calibration_factor,calibration_split,calibration_metrics_path,blend_score,blend_weights_path,validation_predictions_path,train_metrics_path,test_metrics_path,comparison_metrics_path,predictions_path,residuals_path,winner
hurdle_xgb,ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7,cuda,raw_counts,,3.5327450010017842,6.607467017860246,13.597441727219566,1.275149840339678,1.8221160269138692,1.1044243400839358,1.03006104356935,1.3310481913879955,1.4240760635360479,-0.09613759780898096,-0.4946694022721374,0.3793103448275862,0.6206896551724138,2.0,1.5961680529191171,1.9542500399941871,50.0,24.705347438074114,0.49410694876148226,0.49410694876148226,1.4879207389368168,0.8823529411764706,0.17647058823529413,0.0975609756097561,False,75.0,80.5759806729209,1.0743464089722787,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7/comparison_metrics.json,results/ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7/test_predictions.csv,results/ward3_hurdle_xgb_20091231_20251231_20260513_87a4d9c7/residuals.png,False
catboost_poisson_weighted_top25_w5,ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66,cpu,raw_counts,,3.853751859921143,6.936129061460639,12.760341675366515,1.6295064342644423,2.073071542400429,1.5376904873801782,1.0560216454395976,1.340488577754806,1.3951392772790583,-0.22161671643540942,-0.5187519330241405,0.3275862068965517,0.6724137931034483,2.0,1.4362232180441945,1.7623886217370768,50.0,26.239456518986103,0.5247891303797221,0.5247891303797221,1.3976790282949352,0.8823529411764706,0.23529411764705882,0.14634146341463414,False,75.0,87.85376955325376,1.1713835940433834,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66/comparison_metrics.json,results/ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66/test_predictions.csv,results/ward3_catboost_poisson_weighted_top25_w5_20091231_20251231_20260513_b5dd8d66/residuals.png,False
xgb_weighted_top25_w5,ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242,cuda,raw_counts,,3.862872586188286,6.951467009510589,13.383285411635166,1.334693306684494,1.7603539572852631,1.1777433845821526,1.0713212731583366,1.3990663724550574,1.571221909661896,-0.09348507431046717,-0.3997146487236023,0.41379310344827586,0.5862068965517241,2.0,1.6209900046096128,2.0049389729828513,50.0,25.32762560248375,0.506552512049675,0.506552512049675,1.4513161410303677,0.7647058823529411,0.35294117647058826,0.17073170731707318,False,75.0,80.4221343100071,1.072295124133428,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242/comparison_metrics.json,results/ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242/test_predictions.csv,results/ward3_xgb_weighted_top25_w5_20091231_20251231_20260513_d0d01242/residuals.png,False
lgbm_quantile_0.80,ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b,cpu,raw_counts,,4.00208227443018,7.142974081771359,16.969539166428284,1.3854755405844468,1.9567037859757235,1.4207590598783586,1.0756646701723513,1.3688503163772396,1.4254365242289524,-0.2912882166115705,-0.5249192834429253,0.3103448275862069,0.6896551724137931,2.0,1.4019723796301742,1.7509603436937002,50.0,30.09672297461799,0.6019344594923598,0.6019344594923598,1.1707810014930595,0.7647058823529411,0.35294117647058826,0.3170731707317073,False,75.0,91.89471656347109,1.2252628875129479,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b/comparison_metrics.json,results/ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b/test_predictions.csv,results/ward3_lgbm_quantile_0.80_20091231_20251231_20260513_d4ed6d1b/residuals.png,False
lgbm_poisson_weighted_top25_w5,ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71,cpu,raw_counts,,3.9596211765673788,7.219022543889986,13.94847043963027,1.493353959536668,1.9506435378142029,1.4144040506599505,1.0873612762891645,1.3370383347733816,1.37730938209113,-0.39261663113563233,-0.5548583849591567,0.25862068965517243,0.7413793103448276,2.0,1.2862409975739093,1.6382522390576644,50.0,31.713719261866977,0.6342743852373396,0.6342743852373396,1.0756635728313544,0.8235294117647058,0.35294117647058826,0.21951219512195122,False,75.0,97.7717646058667,1.3036235280782227,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71/comparison_metrics.json,results/ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71/test_predictions.csv,results/ward3_lgbm_poisson_weighted_top25_w5_20091231_20251231_20260513_1deabe71/residuals.png,False
xgb_weighted_top25_w8,ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9,cuda,raw_counts,,3.9370293595865684,6.970118978351889,13.402808442175512,1.413357138633728,1.836472061217522,1.3150767439718902,1.09871121881337,1.3555499356945566,1.4002089734790515,-0.39057483703925694,-0.5602460205554962,0.25862068965517243,0.7413793103448276,2.0,1.3279991991379683,1.690552242708733,50.0,31.67787742614746,0.6335575485229492,0.6335575485229492,1.077771916108973,0.7647058823529411,0.4117647058823529,0.24390243902439024,False,75.0,97.6533405482769,1.302044540643692,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9/comparison_metrics.json,results/ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9/test_predictions.csv,results/ward3_xgb_weighted_top25_w8_20091231_20251231_20260513_22f3edc9/residuals.png,False
catboost_poisson_weighted_top25_w8,ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b,cpu,raw_counts,,3.969218104773096,6.981084253656509,12.429939442313763,1.7498126797894307,2.209471431258268,1.7115184562820382,1.1082939918144317,1.3877393223881764,1.4500565169560446,-0.268713277381378,-0.5066793547950887,0.29310344827586204,0.7068965517241379,2.0,1.4793296513877183,1.7640996011142567,50.0,27.027834537152412,0.5405566907430482,0.5405566907430482,1.3513038507557404,0.8823529411764706,0.23529411764705882,0.24390243902439024,False,75.0,90.58537008811993,1.2078049345082658,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b/comparison_metrics.json,results/ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b/test_predictions.csv,results/ward3_catboost_poisson_weighted_top25_w8_20091231_20251231_20260513_f2ce7d1b/residuals.png,False
extra_trees_weighted_top25_w2,ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4,cpu,raw_counts,,3.6551344994491877,6.682888592291301,9.79981061713674,1.5501940160267633,2.0903183330689736,1.4475322139038196,1.1191562602380751,1.3871411995697498,1.5139146797446903,-0.47162232371004015,-0.7413798765587293,0.22413793103448276,0.7758620689655172,2.0,1.1182123316716257,1.610277981972865,50.0,32.27902878382837,0.6455805756765675,0.6455805756765675,1.0424100715395073,0.7058823529411765,0.5882352941176471,0.2682926829268293,False,75.0,102.35409477518235,1.364721263669098,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4/comparison_metrics.json,results/ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4/test_predictions.csv,results/ward3_extra_trees_weighted_top25_w2_20091231_20251231_20260513_9e7e40b4/residuals.png,False
lgbm_quantile_0.70,ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9,cpu,raw_counts,,3.8114800314519264,6.986664957972503,20.35235098845719,1.2532176199374,1.7948572799124938,1.21019441516843,1.1504784932900665,1.4354495386125732,1.7733800574438465,-0.4219381699817748,-0.76816179719945,0.29310344827586204,0.7068965517241379,2.0,1.4288151878006186,1.763885318021826,50.0,32.848952209675886,0.6569790441935177,0.6569790441935177,1.0088851641367123,0.7058823529411765,0.5294117647058824,0.3170731707317073,False,75.0,99.47241385894294,1.3262988514525726,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9/comparison_metrics.json,results/ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9/test_predictions.csv,results/ward3_lgbm_quantile_0.70_20091231_20251231_20260513_267716c9/residuals.png,False
catboost_quantile_0.80,ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d,cpu,raw_counts,,4.199233586833207,7.503707395401531,13.866551839678348,1.6972079305427241,2.287923964362141,1.6665239650513364,1.2544052911584804,1.5084025959429501,1.5999976132573785,-0.7128326089100046,-0.8287959837514953,0.1724137931034483,0.8275862068965517,2.0,1.1186444504513253,1.4515879858671816,50.0,37.605740087260926,0.7521148017452185,0.7521148017452185,0.729074112514063,0.5882352941176471,0.7058823529411765,0.43902439024390244,False,75.0,116.34429131678027,1.5512572175570702,,,,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d/comparison_metrics.json,results/ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d/test_predictions.csv,results/ward3_catboost_quantile_0.80_20091231_20251231_20260513_6452619d/residuals.png,False
