model,stem,device,target_scale,horizon_h,cv_mae,cv_rmse,cv_poisson_deviance,val_mae,val_rmse,val_poisson_deviance,test_mae,test_rmse,test_poisson_deviance,bias_mean,bias_median,underprediction_rate,overprediction_rate,top25_actual_threshold,top25_mae,top25_sum_actual,top25_sum_predicted,top25_total_count_ratio,top25_bias_mean,top25_underprediction_rate,underpredicting,sum_actual,sum_predicted,total_count_ratio,base_model,base_stem,calibration_factor,calibration_split,calibration_metrics_path,train_metrics_path,test_metrics_path,comparison_metrics_path,predictions_path,residuals_path,winner
lgbm_poisson,ward3_lgbm_poisson_20091231_20251231_20260513_e682a979,cpu,raw_counts,,3.625049575107866,6.9061911519997965,15.06769235615096,1.3552172568129182,1.8815978629939591,1.2134578224711983,0.8870083957424433,1.2931676675899813,1.3938646448105507,0.35474905434170767,0.20686055021352445,0.6206896551724138,0.3793103448275862,2.0,1.8629480391167745,50.0,18.329883335014834,0.3665976667002967,1.8629480391167745,1.0,True,75.0,54.424554848180954,0.7256607313090794,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_e682a979/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_e682a979/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_e682a979/comparison_metrics.json,results/ward3_lgbm_poisson_20091231_20251231_20260513_e682a979/test_predictions.csv,results/ward3_lgbm_poisson_20091231_20251231_20260513_e682a979/residuals.png,True
catboost_poisson,ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941,cpu,raw_counts,,3.604880661160613,6.807759098234245,14.303554877023753,1.5131251521155047,2.095628117035046,1.4765135808481218,0.8975112239130838,1.294464119177086,1.3758060655915296,0.3409310337906562,0.10805823885447774,0.5689655172413793,0.43103448275862066,2.0,1.895472164853059,50.0,17.776973197497995,0.3555394639499599,1.895472164853059,1.0,True,75.0,55.22600004014194,0.7363466672018926,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941/comparison_metrics.json,results/ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941/test_predictions.csv,results/ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941/residuals.png,False
xgb,ward3_xgb_20091231_20251231_20260513_f051ee8b,cuda,raw_counts,,3.5705507925915017,6.7033338071897175,13.84349491107022,1.260665548567114,1.7572700602272762,1.072466326330192,0.9334555042201075,1.3177871272709476,1.4293732176989176,0.1875078349277891,-0.104775071144104,0.46551724137931033,0.5344827586206896,2.0,1.771335103932549,50.0,19.887303233146667,0.39774606466293333,1.771335103932549,1.0,True,75.0,64.12454557418823,0.8549939409891765,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_f051ee8b/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_f051ee8b/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_f051ee8b/comparison_metrics.json,results/ward3_xgb_20091231_20251231_20260513_f051ee8b/test_predictions.csv,results/ward3_xgb_20091231_20251231_20260513_f051ee8b/residuals.png,False
extra_trees,ward3_extra_trees_20091231_20251231_20260513_c920deda,cpu,raw_counts,,3.4727376772962453,6.50111338264666,10.079231424425831,1.5238557838876043,2.132097199876028,1.4638925415415205,0.9434644263508584,1.2706560231289818,1.348711006129259,-0.041830323845526644,-0.3036441979594955,0.3620689655172414,0.6379310344827587,2.0,1.4878955602164992,50.0,24.705775476319513,0.4941155095263903,1.4878955602164992,1.0,False,75.0,77.42615878304055,1.032348783773874,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_c920deda/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_c920deda/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_c920deda/comparison_metrics.json,results/ward3_extra_trees_20091231_20251231_20260513_c920deda/test_predictions.csv,results/ward3_extra_trees_20091231_20251231_20260513_c920deda/residuals.png,False
histgb_poisson,ward3_histgb_poisson_20091231_20251231_20260513_684f4f03,cpu,raw_counts,,3.699216104468922,7.076516388591156,13.689067532891926,1.4741801348221482,2.0705045012547796,1.4020665582605387,0.9601533506842268,1.3515473830562603,1.593910898289867,0.42706787621488285,0.3187935538952726,0.603448275862069,0.39655172413793105,2.0,1.9968718401284449,50.0,16.053178717816433,0.32106357435632865,1.9968718401284449,1.0,True,75.0,50.230063179536785,0.6697341757271571,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_684f4f03/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_684f4f03/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_684f4f03/comparison_metrics.json,results/ward3_histgb_poisson_20091231_20251231_20260513_684f4f03/test_predictions.csv,results/ward3_histgb_poisson_20091231_20251231_20260513_684f4f03/residuals.png,False
catboost_poisson_calibrated,ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db,cpu,raw_counts,,3.604880661160613,6.807759098234245,14.303554877023753,1.9163874151945062,2.7893283978267385,2.190048586352776,0.9698396877112239,1.264624659048535,1.280332346111215,-0.14019822474915186,-0.3426366895767884,0.3448275862068966,0.6551724137931034,2.0,1.3929786154741777,50.0,26.75961310963876,0.5351922621927752,1.3670815817859552,0.8823529411764706,False,75.0,83.13149703545082,1.1084199604726777,catboost_poisson,ward3_catboost_poisson_20091231_20251231_20260513_6c2c7941,1.5052963635792072,val,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/calibration_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/comparison_metrics.json,results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/test_predictions.csv,results/ward3_catboost_poisson_calibrated_20091231_20251231_20260513_12ac85db/residuals.png,False
naive_rolling_mean,ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9,cpu,raw_counts,,2.6766034185353615,4.714851403726897,3.2535820311522103,1.8172413793103448,2.519484241759754,1.9940224625887888,0.9716748768472907,1.3109187972152696,1.3843950702027665,0.017241379310344855,-0.2678571428571429,0.29310344827586204,0.6896551724137931,2.0,1.6869747899159664,50.0,21.321428571428573,0.42642857142857143,1.6869747899159664,1.0,True,75.0,74.00000000000001,0.9866666666666668,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9/comparison_metrics.json,results/ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9/test_predictions.csv,results/ward3_naive_rolling_mean_20091231_20251231_20260513_f85b2ff9/residuals.png,False
naive_same_dow_rolling_mean,ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053,cpu,raw_counts,,3.030378704720088,5.401744457478539,4.361898133881546,1.8637931034482758,2.701970864336649,2.3748586005880443,0.9806034482758621,1.3439880502855466,1.5175358173817695,-0.04525862068965517,-0.375,0.3275862068965517,0.5862068965517241,2.0,1.5735294117647058,50.0,23.25,0.465,1.5735294117647058,1.0,False,75.0,77.625,1.035,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053/comparison_metrics.json,results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053/test_predictions.csv,results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_99879053/residuals.png,False
lgbm_poisson_calibrated,ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235,cpu,raw_counts,,3.625049575107866,6.9061911519997965,15.06769235615096,1.9126257169257523,2.7076942603597747,2.0254502213392214,1.018534140109987,1.2965929485110905,1.3138594425912216,-0.24038836054155574,-0.5135151141974086,0.27586206896551724,0.7241379310344828,2.0,1.4656040045221157,50.0,29.955341108358013,0.5991068221671603,1.1790975818612934,0.7647058823529411,False,75.0,88.94252491141025,1.1859003321521366,lgbm_poisson,ward3_lgbm_poisson_20091231_20251231_20260513_e682a979,1.634235230026562,val,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/calibration_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/comparison_metrics.json,results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/test_predictions.csv,results/ward3_lgbm_poisson_calibrated_20091231_20251231_20260513_89f69235/residuals.png,False
hurdle_xgb,ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b,cuda,raw_counts,,3.5327450010017842,6.607467017860246,13.597441727219566,1.275149840339678,1.8221160269138692,1.1044243400839358,1.03006104356935,1.3310481913879955,1.4240760635360479,-0.09613759780898096,-0.4946694022721374,0.3793103448275862,0.6206896551724138,2.0,1.5961680529191171,50.0,24.705347438074114,0.49410694876148226,1.4879207389368168,0.8823529411764706,False,75.0,80.5759806729209,1.0743464089722787,,,,,,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b/comparison_metrics.json,results/ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b/test_predictions.csv,results/ward3_hurdle_xgb_20091231_20251231_20260513_451ea93b/residuals.png,False
