model,model_type,label_mode,high_demand_threshold,threshold_source,threshold_rule,d,selected_threshold,threshold_selection_split,threshold_selection_fallback,threshold_candidates_evaluated,test_labels_used_for_threshold_selection,val_score_kind,val_selected_threshold,val_pr_auc,val_roc_auc,val_brier_score,val_precision,val_recall,val_f1,val_f2,val_false_alarm_rate,val_specificity,val_balanced_accuracy,val_TP,val_FP,val_TN,val_FN,val_alerts_per_month,val_missed_high_demand_days,val_label_prevalence,val_total_days,val_high_demand_days,val_alert_days,val_correctly_alerted_high_demand_days,val_metric_warnings,test_score_kind,test_selected_threshold,test_pr_auc,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,test_f2,test_false_alarm_rate,test_specificity,test_balanced_accuracy,test_TP,test_FP,test_TN,test_FN,test_alerts_per_month,test_missed_high_demand_days,test_label_prevalence,test_total_days,test_high_demand_days,test_alert_days,test_correctly_alerted_high_demand_days,test_metric_warnings,validation_predictions_path,test_predictions_path,metrics_path,test_labels_used_for_training,fixed_alert_rule,fit_source,history_update_rule
random_forest_classifier,ml_classifier,q75,3.0,train,f2,1,0.15000000000000002,val,False,192,False,probability,0.15000000000000002,0.10540276687802667,0.39772727272727276,0.16266515900604028,0.12359550561797752,1.0,0.22,0.41353383458646614,0.975,0.025,0.5125,11,78,2,0,29.768543956043956,0,0.12087912087912088,91,11,89,11,[],probability,0.15000000000000002,0.6981650641906624,0.7510903426791277,0.20206668402532857,0.430635838150289,0.9933333333333333,0.6008064516129032,0.7875264270613108,0.9205607476635514,0.0794392523364486,0.5363862928348909,149,197,17,1,28.9323489010989,1,0.41208791208791207,364,150,346,149,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/random_forest_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/random_forest_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/random_forest_classifier/metrics.json,False,,,
extra_trees_classifier,ml_classifier,q75,3.0,train,f2,1,0.1940722589360311,val,False,192,False,probability,0.1940722589360311,0.10257958477235765,0.3875,0.18235421894968745,0.12643678160919541,1.0,0.22448979591836735,0.4198473282442748,0.95,0.05,0.525,11,76,4,0,29.099587912087912,0,0.12087912087912088,91,11,87,11,[],probability,0.1940722589360311,0.7208029044323498,0.7678816199376948,0.19790609577362173,0.4375,0.98,0.6049382716049383,0.7852564102564102,0.883177570093458,0.11682242990654206,0.548411214953271,147,189,25,3,28.096153846153847,3,0.41208791208791207,364,150,336,147,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/extra_trees_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/extra_trees_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/extra_trees_classifier/metrics.json,False,,,
lgbm_classifier,ml_classifier,q75,3.0,train,f2,1,0.07305036052345992,val,False,192,False,probability,0.07305036052345992,0.12583522455908336,0.46818181818181814,0.177748536414242,0.13580246913580246,1.0,0.2391304347826087,0.44,0.875,0.125,0.5625,11,70,10,0,27.09271978021978,0,0.12087912087912088,91,11,81,11,[],probability,0.07305036052345992,0.6557401534062429,0.7157009345794391,0.24789777143818248,0.5018450184501845,0.9066666666666666,0.6460807600950119,0.7807118254879449,0.6308411214953271,0.3691588785046729,0.6379127725856697,136,135,79,14,22.66088598901099,14,0.41208791208791207,364,150,271,136,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/lgbm_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/lgbm_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/lgbm_classifier/metrics.json,False,,,
xgb_classifier,ml_classifier,q75,3.0,train,f2,1,0.08,val,False,192,False,probability,0.08,0.11490305353095748,0.4068181818181818,0.17323082584218777,0.125,1.0,0.2222222222222222,0.4166666666666667,0.9625,0.0375,0.51875,11,77,3,0,29.434065934065934,0,0.12087912087912088,91,11,88,11,[],probability,0.08,0.6683430477301018,0.7114953271028037,0.23336726727946072,0.46621621621621623,0.92,0.6188340807174888,0.7700892857142857,0.7383177570093458,0.2616822429906542,0.5908411214953271,138,158,56,12,24.751373626373628,12,0.41208791208791207,364,150,296,138,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/xgb_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/xgb_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/xgb_classifier/metrics.json,False,,,
catboost_classifier,ml_classifier,q75,3.0,train,f2,1,0.08,val,False,192,False,probability,0.08,0.12645175632661748,0.4215909090909091,0.17480556501667296,0.12643678160919541,1.0,0.22448979591836735,0.4198473282442748,0.95,0.05,0.525,11,76,4,0,29.099587912087912,0,0.12087912087912088,91,11,87,11,[],probability,0.08,0.6507243398236016,0.6770404984423677,0.247088038177077,0.4564459930313589,0.8733333333333333,0.5995423340961098,0.7384441939120632,0.7289719626168224,0.27102803738317754,0.5721806853582554,131,156,58,19,23.998798076923077,19,0.41208791208791207,364,150,287,131,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/catboost_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/catboost_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/catboost_classifier/metrics.json,False,,,
naive_same_dow_rolling_mean_alert,naive_alert_baseline,q75,3.0,train,f2,1,3.0,,False,,False,count_score,3.0,0.09995136641746039,0.3892045454545454,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,80,11,0.0,11,0.12087912087912088,91,11,0,0,[],count_score,3.0,0.6308231197502753,0.7350155763239874,,0.6875,0.66,0.673469387755102,0.6653225806451613,0.2102803738317757,0.7897196261682243,0.7248598130841122,99,45,169,51,12.041208791208792,51,0.41208791208791207,364,150,144,99,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_same_dow_rolling_mean_alert/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_same_dow_rolling_mean_alert/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_same_dow_rolling_mean_alert/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
logistic_l1_classifier,ml_classifier,q75,3.0,train,f2,1,0.14504050386511144,val,False,192,False,probability,0.14504050386511144,0.10963029529747921,0.4375,0.16230390746380224,0.14084507042253522,0.9090909090909091,0.24390243902439024,0.43478260869565216,0.7625,0.2375,0.5732954545454545,10,61,19,1,23.747939560439562,1,0.12087912087912088,91,11,71,10,[],probability,0.14504050386511144,0.6898126067397421,0.7558878504672897,0.23294024866236335,0.5666666666666667,0.68,0.6181818181818182,0.6538461538461539,0.3644859813084112,0.6355140186915887,0.6577570093457944,102,78,136,48,15.051510989010989,48,0.41208791208791207,364,150,180,102,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/logistic_l1_classifier/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/logistic_l1_classifier/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/logistic_l1_classifier/metrics.json,False,,,
naive_rolling_mean_alert,naive_alert_baseline,q75,3.0,train,f2,1,3.0,,False,,False,count_score,3.0,0.13880266773085237,0.5039772727272727,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,80,11,0.0,11,0.12087912087912088,91,11,0,0,[],count_score,3.0,0.6969640705131066,0.7720404984423677,,0.6870229007633588,0.6,0.6405693950177936,0.615595075239398,0.19158878504672897,0.8084112149532711,0.7042056074766355,90,41,173,60,10.95415521978022,60,0.41208791208791207,364,150,131,90,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_rolling_mean_alert/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_rolling_mean_alert/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_rolling_mean_alert/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
naive_previous_high_demand,naive_alert_baseline,q75,3.0,train,f2,1,0.5,,False,,False,binary,0.5,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.125,0.875,0.48295454545454547,1,10,70,10,3.679258241758242,10,0.12087912087912088,91,11,11,1,[],binary,0.5,,,,0.6,0.6,0.6,0.6,0.2803738317757009,0.719626168224299,0.6598130841121495,90,60,154,60,12.542925824175825,60,0.41208791208791207,364,150,150,90,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_previous_high_demand/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_previous_high_demand/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/naive_previous_high_demand/metrics.json,False,True,walk_forward_history,append observed target only after its target window would be known
count_extra_trees_threshold_alert,naive_alert_baseline,q75,3.0,train,f2,1,3.0,,False,,False,count_prediction,3.0,0.11996193153335867,0.4147727272727273,,0.0,0.0,0.0,0.0,0.0125,0.9875,0.49375,0,1,79,11,0.334478021978022,11,0.12087912087912088,91,11,1,0,[],count_prediction,3.0,0.7152074351818145,0.7724922118380063,,0.7422680412371134,0.48,0.582995951417004,0.5164992826398852,0.11682242990654206,0.883177570093458,0.681588785046729,72,25,189,78,8.111092032967033,78,0.41208791208791207,364,150,97,72,[],/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/count_extra_trees_threshold_alert/validation_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/count_extra_trees_threshold_alert/test_predictions.csv,/data/rpan/course/spring-2026-dc-311/results/high_demand_classification_20260513/count_extra_trees_threshold_alert/metrics.json,False,True,part_a_count_predictions,
