model,model_type,label_mode,high_demand_threshold,threshold_source,threshold_rule,d,selected_threshold,threshold_selection_split,threshold_selection_fallback,fixed_alert_rule,fit_source,history_update_rule,test_labels_used_for_training,test_labels_used_for_threshold_selection,val_score_kind,val_selected_threshold,val_pr_auc,val_roc_auc,val_brier_score,val_precision,val_recall,val_f1,val_f2,val_false_alarm_rate,val_specificity,val_balanced_accuracy,val_TP,val_FP,val_TN,val_FN,val_alerts_per_month,val_missed_high_demand_days,val_label_prevalence,val_total_days,val_high_demand_days,val_alert_days,val_correctly_alerted_high_demand_days,val_metric_warnings,test_score_kind,test_selected_threshold,test_pr_auc,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,test_f2,test_false_alarm_rate,test_specificity,test_balanced_accuracy,test_TP,test_FP,test_TN,test_FN,test_alerts_per_month,test_missed_high_demand_days,test_label_prevalence,test_total_days,test_high_demand_days,test_alert_days,test_correctly_alerted_high_demand_days,test_metric_warnings,validation_predictions_path,test_predictions_path,metrics_path,threshold_candidates_evaluated
naive_previous_high_demand,naive_alert_baseline,q75,17.0,train,f2,5,0.5,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,binary,0.5,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,[],binary,0.5,,,,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.18326693227091634,0.8167330677290837,0.6973573595526152,63,46,205,46,9.215798611111111,46,0.30277777777777776,360,109,109,63,[],results/high_demand_classification_d5_20260513/naive_previous_high_demand/validation_predictions.csv,results/high_demand_classification_d5_20260513/naive_previous_high_demand/test_predictions.csv,results/high_demand_classification_d5_20260513/naive_previous_high_demand/metrics.json,
naive_rolling_mean_alert,naive_alert_baseline,q75,17.0,train,f2,5,17.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,17.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],count_score,17.0,0.5364447924843626,0.7902335611681715,,0.5978260869565217,0.5045871559633027,0.5472636815920398,0.5208333333333334,0.14741035856573706,0.852589641434263,0.6785883986987828,55,37,214,54,7.778472222222223,54,0.30277777777777776,360,109,92,55,[],results/high_demand_classification_d5_20260513/naive_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_d5_20260513/naive_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_d5_20260513/naive_rolling_mean_alert/metrics.json,
naive_same_dow_rolling_mean_alert,naive_alert_baseline,q75,17.0,train,f2,5,17.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,17.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],count_score,17.0,0.5497117678851053,0.7640630139990496,,0.574468085106383,0.4954128440366973,0.5320197044334976,0.5094339622641509,0.1593625498007968,0.8406374501992032,0.6680251471179502,54,40,211,55,7.9475694444444445,55,0.30277777777777776,360,109,94,54,[],results/high_demand_classification_d5_20260513/naive_same_dow_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_d5_20260513/naive_same_dow_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_d5_20260513/naive_same_dow_rolling_mean_alert/metrics.json,
count_extra_trees_threshold_alert,naive_alert_baseline,q75,17.0,train,f2,5,17.0,,False,True,part_a_count_predictions,,False,False,count_prediction,17.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],count_prediction,17.0,0.6964540292581255,0.8635549544939508,,0.6911764705882353,0.43119266055045874,0.5310734463276836,0.4662698412698413,0.08366533864541832,0.9163346613545816,0.6737636609525202,47,21,230,62,5.749305555555556,62,0.30277777777777776,360,109,68,47,[],results/high_demand_classification_d5_20260513/count_extra_trees_threshold_alert/validation_predictions.csv,results/high_demand_classification_d5_20260513/count_extra_trees_threshold_alert/test_predictions.csv,results/high_demand_classification_d5_20260513/count_extra_trees_threshold_alert/metrics.json,
extra_trees_classifier,ml_classifier,q75,17.0,train,f2,5,0.54,val,False,,,,False,False,probability,0.54,,,0.07527830192414965,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],probability,0.54,0.7313000929744673,0.8700975912862312,0.14057917057958075,0.711864406779661,0.3853211009174312,0.5,0.42424242424242425,0.06772908366533864,0.9322709163346613,0.6587960086260463,42,17,234,67,4.988368055555556,67,0.30277777777777776,360,109,59,42,[],results/high_demand_classification_d5_20260513/extra_trees_classifier/validation_predictions.csv,results/high_demand_classification_d5_20260513/extra_trees_classifier/test_predictions.csv,results/high_demand_classification_d5_20260513/extra_trees_classifier/metrics.json,188
random_forest_classifier,ml_classifier,q75,17.0,train,f2,5,0.53,val,False,,,,False,False,probability,0.53,,,0.04191206625661316,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],probability,0.53,0.6829024787145764,0.8492634964728243,0.15160636342320402,0.6612903225806451,0.3761467889908257,0.47953216374269003,0.41164658634538154,0.08366533864541832,0.9163346613545816,0.6462407251727037,41,21,230,68,5.242013888888889,68,0.30277777777777776,360,109,62,41,[],results/high_demand_classification_d5_20260513/random_forest_classifier/validation_predictions.csv,results/high_demand_classification_d5_20260513/random_forest_classifier/test_predictions.csv,results/high_demand_classification_d5_20260513/random_forest_classifier/metrics.json,188
logistic_l1_classifier,ml_classifier,q75,17.0,train,f2,5,0.51,val,False,,,,False,False,probability,0.51,,,0.04306511939268883,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],probability,0.51,0.6978591846669591,0.8369457948024417,0.18225274131148192,0.8571428571428571,0.27522935779816515,0.4166666666666667,0.3184713375796178,0.0199203187250996,0.9800796812749004,0.6276545195365328,30,5,246,79,2.959201388888889,79,0.30277777777777776,360,109,35,30,[],results/high_demand_classification_d5_20260513/logistic_l1_classifier/validation_predictions.csv,results/high_demand_classification_d5_20260513/logistic_l1_classifier/test_predictions.csv,results/high_demand_classification_d5_20260513/logistic_l1_classifier/metrics.json,188
count_lgbm_threshold_alert,naive_alert_baseline,q75,17.0,train,f2,5,17.0,,False,True,part_a_count_predictions,,False,False,count_prediction,17.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],count_prediction,17.0,0.6830946121000878,0.8375488870207245,,0.7105263157894737,0.24770642201834864,0.3673469387755102,0.2848101265822785,0.043824701195219126,0.9561752988047809,0.6019408604115648,27,11,240,82,3.2128472222222224,82,0.30277777777777776,360,109,38,27,[],results/high_demand_classification_d5_20260513/count_lgbm_threshold_alert/validation_predictions.csv,results/high_demand_classification_d5_20260513/count_lgbm_threshold_alert/test_predictions.csv,results/high_demand_classification_d5_20260513/count_lgbm_threshold_alert/metrics.json,
catboost_classifier,ml_classifier,q75,17.0,train,f2,5,0.53,val,False,,,,False,False,probability,0.53,,,0.029570262845449426,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],probability,0.53,0.6775162518877998,0.8264921963522058,0.1809912035459266,0.6944444444444444,0.22935779816513763,0.3448275862068966,0.2648305084745763,0.043824701195219126,0.9561752988047809,0.5927665484849592,25,11,240,84,3.04375,84,0.30277777777777776,360,109,36,25,[],results/high_demand_classification_d5_20260513/catboost_classifier/validation_predictions.csv,results/high_demand_classification_d5_20260513/catboost_classifier/test_predictions.csv,results/high_demand_classification_d5_20260513/catboost_classifier/metrics.json,188
xgb_classifier,ml_classifier,q75,17.0,train,f2,5,0.74,val,False,,,,False,False,probability,0.74,,,0.04305326661282156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,87,0,0.0,0,0.0,87,0,0,0,['ranking metrics undefined because split has one class'],probability,0.74,0.6476105101223869,0.8111042070251107,0.1961295564737064,0.85,0.1559633027522936,0.26356589147286824,0.18640350877192982,0.01195219123505976,0.9880478087649402,0.5720055557586169,17,3,248,92,1.6909722222222223,92,0.30277777777777776,360,109,20,17,[],results/high_demand_classification_d5_20260513/xgb_classifier/validation_predictions.csv,results/high_demand_classification_d5_20260513/xgb_classifier/test_predictions.csv,results/high_demand_classification_d5_20260513/xgb_classifier/metrics.json,188
